WELL ID,RESULTS,CHEMICAL,DATE,UNITS,QUALIFER,RL,LATITUDE,LONGITUDE,WELL TYPE,WELL DEPTH (FT),TOP OF SCREEN (FT),SCREEN LENGTH (FT),SOURCE,SOURCE NAME,OTHER NAMES
DM-27,0.2,DO,6/24/2010,MG/L,<,UNK,37.10138889,-120.8206111,MUNICIPAL,575,350,225,USGS,DM-27,DM-27
DM-U-09,0.2,DO,3/31/2010,MG/L,<,UNK,36.88959444,-120.6701639,MUNICIPAL,215,195,20,USGS,DM-U-09,DM-U-09
MER-02,4.4,DO,3/29/2006,MG/L,,UNK,37.39238889,-120.7046944,MUNICIPAL,0,0,0,USGS,MER-02,MER-02
DM-U-13,7.9,DO,5/18/2010,MG/L,,UNK,37.29069444,-121.0875556,MUNICIPAL,380,240,20,USGS,DM-U-13,DM-U-13
DM-19,0.2,DO,9/16/2015,MG/L,<,UNK,36.83638889,-120.6739444,MUNICIPAL,350,250,100,USGS,DM-19,DM-19
MER-03,4.7,DO,3/30/2006,MG/L,,UNK,37.36013889,-120.6011944,MUNICIPAL,526,305,210,USGS,MER-03,MER-03
MOD-01,6.7,DO,3/13/2006,MG/L,,UNK,37.62159742,-121.0441012,MUNICIPAL,81,0,0,USGS,MOD-01,MOD-01
MADCHOW-05,5.8,DO,3/15/2011,MG/L,,UNK,37.05575,-119.9849444,MUNICIPAL,350,0,0,USGS,MADCHOW-05,MADCHOW-05
S6-MCAW-M07,0.3,DO,9/14/2016,MG/L,,UNK,38.36038889,-120.6761667,MUNICIPAL,120,40,80,USGS,S6-MCAW-M07,S6-MCAW-M07
MADCHOW-25,5.7,DO,5/13/2008,MG/L,,UNK,36.94466667,-120.2830278,MUNICIPAL,200,0,0,USGS,MADCHOW-25,MADCHOW-25
S6-MCAW-M11,5,DO,8/25/2016,MG/L,,UNK,38.49952778,-120.5370833,MUNICIPAL,300,0,0,USGS,S6-MCAW-M11,S6-MCAW-M11
S3-MACK-M12,4.3,DO,3/18/2014,MG/L,,UNK,36.82897222,-120.0628611,MUNICIPAL,253,213,40,USGS,S3-MACK-M12,S3-MACK-M12
S3-MACK-M13,2.1,DO,12/2/2013,MG/L,,UNK,36.90166667,-120.1263056,MUNICIPAL,280,280,0,USGS,S3-MACK-M13,S3-MACK-M13
MADCHOW-03,4,DO,3/15/2011,MG/L,,UNK,36.96300227,-120.0646067,MUNICIPAL,540,240,280,USGS,MADCHOW-03,MADCHOW-03
MADCHOW-26,6,DO,5/14/2008,MG/L,,UNK,36.92336111,-120.3731389,MUNICIPAL,510,210,300,USGS,MADCHOW-26,MADCHOW-26
TRLKFP-01,0.3,DO,4/5/2006,MG/L,,UNK,37.48938889,-120.9948056,MUNICIPAL,80,0,0,USGS,TRLKFP-01,TRLKFP-01
S3-MACK-M10,3.7,DO,12/4/2013,MG/L,,UNK,36.93122222,-120.1842778,MUNICIPAL,300,240,60,USGS,S3-MACK-M10,S3-MACK-M10
S6-MCAW-C07,0.7,DO,10/20/2016,MG/L,,UNK,38.59211111,-120.84575,MUNICIPAL,200,120,80,USGS,S6-MCAW-C07,S6-MCAW-C07
S3-MACK-M11,4.7,DO,12/3/2013,MG/L,,UNK,36.86072222,-120.1004722,MUNICIPAL,300,240,60,USGS,S3-MACK-M11,S3-MACK-M11
S3-MACK-M19,3,DO,12/11/2013,MG/L,,UNK,37.033,-120.1138889,MUNICIPAL,409,409,0,USGS,S3-MACK-M19,S3-MACK-M19
Vanadium Study,0.2,DO,1/31/2012,MG/L,<,UNK,37.95993056,-121.31385,MUNICIPAL,580,560,20,USGS,Vanadium Study,Vanadium Study
Vanadium Study,0.2,DO,1/31/2012,MG/L,<,UNK,37.8971,-121.2694,MUNICIPAL,580,560,20,USGS,Vanadium Study,Vanadium Study
