WELL ID,RESULTS,CHEMICAL,DATE,UNITS,QUALIFER,RL,LATITUDE,LONGITUDE,WELL TYPE,WELL DEPTH (FT),TOP OF SCREEN (FT),SCREEN LENGTH (FT),SOURCE,SOURCE NAME,OTHER NAMES
T0604700079-MW-Y,3500,FE,6/27/2006,UG/L,=,0.1,36.9856886,-120.6389966,MONITORING,19.1,,,EDF,MW-Y,MW-Y
T0607700888-MW-8,17000,FE,5/30/2006,UG/L,=,100,37.9545366,-121.2706205,MONITORING,,,,EDF,MW-8,MW-8
SL185612929-MW-6R,650,FE,8/15/2011,UG/L,=,0.19,37.6336768,-121.2895442,MONITORING,,,,EDF,MW-6R,MW-6R
T0610900032-SW6,0,FE,5/30/2002,UG/L,ND,0.2,37.9893499,-120.3860111,MONITORING,,,,EDF,SW6,SW6
T0610900032-SW6,860,FE,4/14/2005,UG/L,=,0.2,37.9893499,-120.3860111,MONITORING,,,,EDF,SW6,SW6
SL205132997-MW-100A,200,FE,2/10/2014,UG/L,=,0.2,38.0110047,-121.3213909,MONITORING,,43,20,EDF,MW-100A,MW-100A
T0607700523-MW8,0,FE,4/24/2012,UG/L,ND,0.01,37.9597384,-121.2859605,MONITORING,68.7,59,10,EDF,MW8,MW8
T0607700523-MW8,,FE,10/11/2016,UG/L,=,0.2,37.9597384,-121.2859605,MONITORING,68.7,59,10,EDF,MW8,MW8
SL0607731692-LP-4,1030,FE,2/8/2013,UG/L,=,50,37.8056734,-121.2746789,MONITORING,25,10,15,EDF,LP-4,LP-4
SL375143638-MW-20,500,FE,12/12/2007,UG/L,=,50,37.949189,-121.345494,MONITORING,29.08,9.5,19.5,EDF,MW-20,MW-20
T0607700004-MW-73B,162,FE,11/4/2009,UG/L,=,200,37.7517369,-121.3451918,MONITORING,68.02,,,EDF,MW-73B,MW-73B
SL186102968-7EW-4,57.7,FE,2/18/2014,UG/L,=,0.05,37.99807566,-121.7094744,MONITORING,,,,EDF,7EW-4,7EW-4
L10003659506-B-13,0,FE,1/21/2019,UG/L,ND,0.05,38.3612421,-120.8098635,MONITORING,,49,14.2,EDF,B-13,B-13
L10003659506-B-13,0,FE,7/12/2012,UG/L,ND,0.05,38.3612421,-120.8098635,MONITORING,,49,14.2,EDF,B-13,B-13
SL205092993-MW-5B,300,FE,11/22/2005,UG/L,=,0.3,37.9977964,-121.843548,MONITORING,,150,165,EDF,MW-5B,MW-5B
SL185102895-TW-03,0,FE,3/27/2012,UG/L,ND,0.2,37.7381781,-121.4130314,MONITORING,,5,15,EDF,TW-03,TW-03
SL205363007-MW-6,3300,FE,2/18/2014,UG/L,=,100,37.7487757,-121.3276392,MONITORING,,,,EDF,MW-6,MW-6
SL205363007-MW-6,10000,FE,12/4/2014,UG/L,=,110,37.7487757,-121.3276392,MONITORING,,,,EDF,MW-6,MW-6
SL205363007-MW-6,17000,FE,9/18/2013,UG/L,=,100,37.7487757,-121.3276392,MONITORING,,,,EDF,MW-6,MW-6
SL0607793529-MW-9,280,FE,4/19/2011,UG/L,=,0.1,37.9633591,-121.2883533,MONITORING,95,85,10,EDF,MW-9,MW-9
T0607700539-NP-2-22,122,FE,8/23/2007,UG/L,=,52.2,37.9569171,-121.2853712,MONITORING,,22,25,EDF,NP-2-22,NP-2-22
T0607700539-NP-2-22,235,FE,11/9/2011,UG/L,=,200,37.9569171,-121.2853712,MONITORING,,22,25,EDF,NP-2-22,NP-2-22
T0607700539-NP-2-22,292,FE,5/20/2009,UG/L,=,200,37.9569171,-121.2853712,MONITORING,,22,25,EDF,NP-2-22,NP-2-22
SL186192977-MW-10,0,FE,1/21/2019,UG/L,ND,0.5,37.9319944,-121.3040686,MONITORING,,,,EDF,MW-10,MW-10
SL186192977-MW-10,151,FE,2/1/2018,UG/L,=,0.1,37.9319944,-121.3040686,MONITORING,,,,EDF,MW-10,MW-10
L10007396297-MW-39B,12.4,FE,5/22/2015,UG/L,=,4,38.5037148,-121.1658,MONITORING,,158,178,EDF,MW-39B,MW-39B
T10000011434-MW-5,0,FE,11/29/2018,UG/L,ND,0.1,37.3150951,-121.0183119,MONITORING,,45,15,EDF,MW-5,MW-5
T10000011434-MW-4,0,FE,11/29/2018,UG/L,ND,0.1,37.3149614,-121.0182816,MONITORING,,45,15,EDF,MW-4,MW-4
SL205843044-MW-22A,0,FE,2/7/2018,UG/L,ND,21,37.9806582,-121.2535868,MONITORING,,45,20,EDF,MW-22A,MW-22A
SL205843044-MW-22A,0,FE,8/9/2018,UG/L,ND,21,37.9806582,-121.2535868,MONITORING,,45,20,EDF,MW-22A,MW-22A
SL205843044-MW-22A,0,FE,3/7/2018,UG/L,ND,21,37.9806582,-121.2535868,MONITORING,,45,20,EDF,MW-22A,MW-22A
SL205843044-MW-22A,10400,FE,4/24/2012,UG/L,=,0.05,37.9806582,-121.2535868,MONITORING,,45,20,EDF,MW-22A,MW-22A
