WELL ID,RESULTS,CHEMICAL,DATE,UNITS,QUALIFER,RL,LATITUDE,LONGITUDE,WELL TYPE,WELL DEPTH (FT),TOP OF SCREEN (FT),SCREEN LENGTH (FT),SOURCE,SOURCE NAME,OTHER NAMES
2410005-001,0,AS,3/31/1992,UG/L,<,UNK,37.0604735,-120.84992,MUNICIPAL,,0,144,DHS,2410005-001,WELL 01
2410005-001,6,AS,7/13/2005,UG/L,,UNK,37.0604735,-120.84992,MUNICIPAL,,0,144,DHS,2410005-001,WELL 01
5500104-003,0,AS,7/21/2015,UG/L,<,UNK,37.9586458,-120.334912,MUNICIPAL,,0,10,DHS,5500104-003,WELL 3
5500104-003,0,AS,8/23/2004,UG/L,<,UNK,37.9586458,-120.334912,MUNICIPAL,,0,10,DHS,5500104-003,WELL 3
5500104-003,0,AS,5/22/2018,UG/L,,UNK,37.9586458,-120.334912,MUNICIPAL,,0,10,DHS,5500104-003,WELL 3
5510001-013,0,AS,8/10/2009,UG/L,<,UNK,37.9876191,-120.334912,MUNICIPAL,,,,DHS,5510001-013,MONO VILLAGE WELL 7
0707545-002,0,AS,9/30/2002,UG/L,<,UNK,37.9296725,-121.602624,MUNICIPAL,,0,0,DHS,0707545-002,WELL 2 - WEST WELL
0707545-002,0,AS,6/28/2010,UG/L,<,UNK,37.9296725,-121.602624,MUNICIPAL,,0,0,DHS,0707545-002,WELL 2 - WEST WELL
3901319-001,2,AS,1/18/2012,UG/L,,UNK,37.9876191,-121.206464,MUNICIPAL,,0,0,DHS,3901319-001,WELL
2000865-001,2,AS,5/16/2006,UG/L,<,UNK,37.1473934,-119.701056,MUNICIPAL,,0,0,DHS,2000865-001,WELL 1
1000484-001,3.2,AS,2/5/2013,UG/L,,UNK,36.9735536,-119.66144,MUNICIPAL,,,,DHS,1000484-001,WELL 01 - RAW - STANDBY
0710004-007,0,AS,6/30/1999,UG/L,<,UNK,37.9586458,-121.681856,MUNICIPAL,,225,90,DHS,0710004-007,WELL 7
0710004-007,2,AS,5/29/2013,UG/L,<,UNK,37.9586458,-121.681856,MUNICIPAL,,225,90,DHS,0710004-007,WELL 7
0710004-007,2,AS,3/29/2004,UG/L,<,UNK,37.9586458,-121.681856,MUNICIPAL,,225,90,DHS,0710004-007,WELL 7
0710004-007,10,AS,8/16/1990,UG/L,<,UNK,37.9586458,-121.681856,MUNICIPAL,,225,90,DHS,0710004-007,WELL 7
5010010-134,5.1,AS,5/9/2018,UG/L,,UNK,37.6109662,-120.968768,MUNICIPAL,,0,93,DHS,5010010-134,WELL 284 - MUSICK
2010012-004,2.2,AS,9/4/2002,UG/L,,UNK,37.2343133,-119.899136,MUNICIPAL,,0,10,DHS,2010012-004,WELL 02 - STANDBY
2010012-004,3,AS,8/9/1999,UG/L,,UNK,37.2343133,-119.899136,MUNICIPAL,,0,10,DHS,2010012-004,WELL 02 - STANDBY
3910015-003,20,AS,9/6/1985,UG/L,,UNK,37.8137793,-121.285696,MUNICIPAL,,,,DHS,3910015-003,WELL 04 - DESTROYED
3910802-003,4.6,AS,6/11/1997,UG/L,,UNK,37.9006992,-121.206464,MUNICIPAL,,142,160,DHS,3910802-003,WELL 03 - DESTROYED
3910802-003,10,AS,5/1/1989,UG/L,<,UNK,37.9006992,-121.206464,MUNICIPAL,,142,160,DHS,3910802-003,WELL 03 - DESTROYED
5010019-034,9.2,AS,10/21/2004,UG/L,,UNK,37.495073,-120.889536,MUNICIPAL,,305,105,DHS,5010019-034,WELL NO. 34
5010019-034,10,AS,7/10/2003,UG/L,,UNK,37.495073,-120.889536,MUNICIPAL,,305,105,DHS,5010019-034,WELL NO. 34
0707573-002,8.9,AS,8/14/2012,UG/L,,UNK,37.9876191,-121.64224,MUNICIPAL,,0,10,DHS,0707573-002,WEST WELL
0707573-002,9,AS,11/22/2016,UG/L,,UNK,37.9876191,-121.64224,MUNICIPAL,,0,10,DHS,0707573-002,WEST WELL
0707573-002,11,AS,8/25/2015,UG/L,,UNK,37.9876191,-121.64224,MUNICIPAL,,0,10,DHS,0707573-002,WEST WELL
0707573-002,12,AS,4/8/2019,UG/L,,UNK,37.9876191,-121.64224,MUNICIPAL,,0,10,DHS,0707573-002,WEST WELL
5000193-003,0,AS,4/7/2003,UG/L,<,UNK,37.4660997,-121.127232,MUNICIPAL,,0,60,DHS,5000193-003,SOUTH WELL
0400007-001,0,AS,11/14/2001,UG/L,<,UNK,38.3063254,-120.889536,MUNICIPAL,,0,100,DHS,0400007-001,WELL #1 - LOCATED NEXT TO CLUBHOUSE
0400007-001,0,AS,2/11/2009,UG/L,<,UNK,38.3063254,-120.889536,MUNICIPAL,,0,100,DHS,0400007-001,WELL #1 - LOCATED NEXT TO CLUBHOUSE
0400007-001,2,AS,11/5/1996,UG/L,<,UNK,38.3063254,-120.889536,MUNICIPAL,,0,100,DHS,0400007-001,WELL #1 - LOCATED NEXT TO CLUBHOUSE
5000427-002,0,AS,9/22/2005,UG/L,<,UNK,37.3791798,-121.127232,MUNICIPAL,,400,350,DHS,5000427-002,WELL 02
2210900-020,2.5,AS,8/1/2015,UG/L,,UNK,37.6689128,-119.85952,MUNICIPAL,,,,DHS,2210900-020,WELL 10 IF-RAW
2210900-020,3.3,AS,4/14/2010,UG/L,,UNK,37.6689128,-119.85952,MUNICIPAL,,,,DHS,2210900-020,WELL 10 IF-RAW
2210900-020,6,AS,5/16/2012,UG/L,,UNK,37.6689128,-119.85952,MUNICIPAL,,,,DHS,2210900-020,WELL 10 IF-RAW
2210900-020,6.8,AS,3/26/2019,UG/L,,UNK,37.6689128,-119.85952,MUNICIPAL,,,,DHS,2210900-020,WELL 10 IF-RAW
5010028-035,4.8,AS,9/7/2011,UG/L,,UNK,37.5819929,-121.008384,MUNICIPAL,,,,DHS,5010028-035,WELL 35- RAW
2010005-011,0,AS,5/28/1998,UG/L,<,UNK,37.1763667,-119.780288,MUNICIPAL,,0,100,DHS,2010005-011,WELL 28A - INACTIVE
5510026-002,10,AS,8/28/1989,UG/L,<,UNK,38.0165924,-120.295296,MUNICIPAL,,0,296,DHS,5510026-002,WELL 02 - BRETZ SOUTH STBY
3910015-008,2,AS,4/21/1997,UG/L,<,UNK,37.8137793,-121.24608,MUNICIPAL,,164,39,DHS,3910015-008,WELL NO. 09 - RAW
3910015-008,10,AS,3/7/2011,UG/L,,UNK,37.8137793,-121.24608,MUNICIPAL,,164,39,DHS,3910015-008,WELL NO. 09 - RAW
3910015-008,19,AS,6/17/2014,UG/L,,UNK,37.8137793,-121.24608,MUNICIPAL,,164,39,DHS,3910015-008,WELL NO. 09 - RAW
3910015-008,21,AS,9/13/2010,UG/L,,UNK,37.8137793,-121.24608,MUNICIPAL,,164,39,DHS,3910015-008,WELL NO. 09 - RAW
3910015-008,21,AS,2/7/2005,UG/L,,UNK,37.8137793,-121.24608,MUNICIPAL,,164,39,DHS,3910015-008,WELL NO. 09 - RAW
3910802-002,10,AS,7/24/1990,UG/L,<,UNK,37.9006992,-121.206464,MUNICIPAL,,124,36,DHS,3910802-002,WELL 02
3910802-002,3.1,AS,9/20/2006,UG/L,,UNK,37.9006992,-121.206464,MUNICIPAL,,124,36,DHS,3910802-002,WELL 02
0707588-002,2.9,AS,7/27/2016,UG/L,,UNK,37.9876191,-121.681856,MUNICIPAL,,50,10,DHS,0707588-002,WELLHEAD- EAST WELL
2000851-002,2,AS,6/17/2008,UG/L,<,UNK,37.2343133,-119.701056,MUNICIPAL,,0,0,DHS,2000851-002,SOURCE WELL 2
2000851-002,3.3,AS,2/8/2011,UG/L,,UNK,37.2343133,-119.701056,MUNICIPAL,,0,0,DHS,2000851-002,SOURCE WELL 2
2000502-001,23,AS,2/7/2017,UG/L,,UNK,37.3212332,-119.582208,MUNICIPAL,,0,0,DHS,2000502-001,WELL 1
2000502-001,32,AS,3/5/2019,UG/L,,UNK,37.3212332,-119.582208,MUNICIPAL,,0,0,DHS,2000502-001,WELL 1
5010017-012,2,AS,8/1/2017,UG/L,,UNK,37.4660997,-121.127232,MUNICIPAL,,300,69,DHS,5010017-012,WELL NO. 07
5010017-012,2,AS,8/27/2002,UG/L,,UNK,37.4660997,-121.127232,MUNICIPAL,,300,69,DHS,5010017-012,WELL NO. 07
1010053-007,0,AS,6/20/2018,UG/L,<,UNK,37.1184201,-119.304896,MUNICIPAL,,0,160,DHS,1010053-007,DOGWOOD WELL - RAW
3910024-002,10,AS,4/14/1987,UG/L,<,UNK,38.0455657,-121.24608,MUNICIPAL,,162,34,DHS,3910024-002,WELL 02
5500077-002,0,AS,12/16/2009,UG/L,<,UNK,38.1035123,-120.136832,MUNICIPAL,,0,0,DHS,5500077-002,WELL - SI 2
5500042-006,0,AS,10/20/2003,UG/L,<,UNK,38.0165924,-120.295296,MUNICIPAL,,0,18,DHS,5500042-006,WELL 6
1009091-003,16,AS,5/20/2014,UG/L,,UNK,36.8576604,-120.65184,MUNICIPAL,,538,397,DHS,1009091-003,WELL 01 - RAW
1009091-003,14,AS,2/11/2014,UG/L,,UNK,36.8576604,-120.65184,MUNICIPAL,,538,397,DHS,1009091-003,WELL 01 - RAW
1009091-003,15,AS,9/20/2016,UG/L,,UNK,36.8576604,-120.65184,MUNICIPAL,,538,397,DHS,1009091-003,WELL 01 - RAW
1009091-003,16,AS,2/13/2018,UG/L,,UNK,36.8576604,-120.65184,MUNICIPAL,,538,397,DHS,1009091-003,WELL 01 - RAW
