WELL ID,RESULTS,CHEMICAL,DATE,UNITS,QUALIFER,RL,LATITUDE,LONGITUDE,WELL TYPE,WELL DEPTH (FT),TOP OF SCREEN (FT),SCREEN LENGTH (FT),SOURCE,SOURCE NAME,OTHER NAMES
02S08E20J002M,8.1,PH,6/14/1976,PH UNITS,=,UNK,37.7447,-121.1061,UNK,,,,DWR,02S08E20J002M,02S08E20J002M
02S09E23Q001M,8.1,PH,10/11/1962,PH UNITS,=,UNK,37.7411,-120.9457,UNK,,,,DWR,02S09E23Q001M,02S09E23Q001M
12S19E20L001M,8.2,PH,4/30/1970,PH UNITS,=,UNK,36.8724,-119.9256,UNK,,,,DWR,12S19E20L001M,12S19E20L001M
03S08E11J001M,8.7,PH,8/9/1966,PH UNITS,=,UNK,37.6863,-121.0502,UNK,,,,DWR,03S08E11J001M,03S08E11J001M
12S20E16L001M,6.7,PH,8/15/1979,PH UNITS,=,UNK,36.8869,-119.7986,UNK,,,,DWR,12S20E16L001M,12S20E16L001M
11S17E26Q002M,8.7,PH,5/25/1966,PH UNITS,=,UNK,36.941,-120.0842,UNK,,,,DWR,11S17E26Q002M,11S17E26Q002M
03S10E17K001M,7.5,PH,8/11/1964,PH UNITS,=,UNK,37.6744,-120.8913,UNK,476,116,284,DWR,03S10E17K001M,03S10E17K001M
03S10E17K001M,8.6,PH,8/8/1966,PH UNITS,=,UNK,37.6744,-120.8913,UNK,476,116,284,DWR,03S10E17K001M,03S10E17K001M
02S08E25P001M,7.8,PH,11/25/1949,PH UNITS,=,UNK,37.728,-121.0413,UNK,320,79,40,DWR,02S08E25P001M,02S08E25P001M
07S15E27N001M,7.9,PH,6/25/1958,PH UNITS,=,UNK,37.2893,-120.3209,UNK,,,,DWR,07S15E27N001M,07S15E27N001M
08S16E17P001M,8.3,PH,9/16/1958,PH UNITS,=,UNK,37.2314,-120.2437,UNK,,,,DWR,08S16E17P001M,08S16E17P001M
08S16E17P001M,8.1,PH,7/10/1957,PH UNITS,=,UNK,37.2314,-120.2437,UNK,,,,DWR,08S16E17P001M,08S16E17P001M
06S12E21N001M,7.3,PH,5/27/1959,PH UNITS,=,UNK,37.3899,-120.6669,UNK,,,,DWR,06S12E21N001M,06S12E21N001M
06S12E21N001M,8.5,PH,5/24/1966,PH UNITS,=,UNK,37.3899,-120.6669,UNK,,,,DWR,06S12E21N001M,06S12E21N001M
12S18E09D001M,8.3,PH,8/26/1986,PH UNITS,=,UNK,36.9085,-120.0208,UNK,,,,DWR,12S18E09D001M,12S18E09D001M
02S10E15D001M,7.1,PH,8/6/1979,PH UNITS,=,UNK,37.7663,-120.863,UNK,,,,DWR,02S10E15D001M,02S10E15D001M
10S16E30K001M,7.8,PH,7/24/1957,PH UNITS,=,UNK,37.0311,-120.2656,UNK,,,,DWR,10S16E30K001M,10S16E30K001M
02S09E15P001M,7.8,PH,7/20/1972,PH UNITS,=,UNK,37.7555,-120.9685,UNK,,,,DWR,02S09E15P001M,02S09E15P001M
02S09E15P001M,8,PH,6/15/1979,PH UNITS,=,UNK,37.7555,-120.9685,UNK,,,,DWR,02S09E15P001M,02S09E15P001M
02S09E15P001M,8,PH,7/30/2001,PH UNITS,=,UNK,37.7555,-120.9685,UNK,,,,DWR,02S09E15P001M,02S09E15P001M
05S11E23R001M,7.7,PH,8/24/1970,PH UNITS,=,UNK,37.4783,-120.7238,UNK,,,,DWR,05S11E23R001M,05S11E23R001M
08S08E09E001M,8,PH,6/21/1967,PH UNITS,=,UNK,37.253,-121.1024,UNK,,,,DWR,08S08E09E001M,08S08E09E001M
11S17E25B001M,6.9,PH,7/22/1957,PH UNITS,=,UNK,36.9518,-120.0661,UNK,,,,DWR,11S17E25B001M,11S17E25B001M
11S17E25B001M,7.2,PH,3/19/1964,PH UNITS,=,UNK,36.9518,-120.0661,UNK,,,,DWR,11S17E25B001M,11S17E25B001M
11S17E25B001M,8.3,PH,6/7/1965,PH UNITS,=,UNK,36.9518,-120.0661,UNK,,,,DWR,11S17E25B001M,11S17E25B001M
11S17E26A002M,8,PH,5/25/1966,PH UNITS,=,UNK,36.9518,-120.0797,UNK,,,,DWR,11S17E26A002M,11S17E26A002M
11S17E26Q003M,8.6,PH,5/26/1966,PH UNITS,=,UNK,36.941,-120.0842,UNK,,,,DWR,11S17E26Q003M,11S17E26Q003M
10S17E06A001M,7.3,PH,4/29/1970,PH UNITS,=,UNK,37.0977,-120.1474,UNK,,,,DWR,10S17E06A001M,10S17E06A001M
