WELL ID,RESULTS,CHEMICAL,DATE,UNITS,QUALIFER,RL,LATITUDE,LONGITUDE,WELL TYPE,WELL DEPTH (FT),TOP OF SCREEN (FT),SCREEN LENGTH (FT),SOURCE,SOURCE NAME,OTHER NAMES
2410009-003,3.6,CR6,9/1/2016,UG/L,,UNK,37.3212332,-120.493376,MUNICIPAL,,0,33,DHS,2410009-003,WELL 01C - RAW
5000433-006,2.4,CR6,2/19/2002,UG/L,,UNK,37.784806,-120.770688,MUNICIPAL,,,,DHS,5000433-006,COUNTRY OAK MANOR WELL NO. 01
2010009-002,0.3,CR6,10/3/2014,UG/L,,UNK,36.915607,-119.819904,MUNICIPAL,,324,45,DHS,2010009-002,S&J RANCH WELL - RAW STBY
2410007-006,1.3,CR6,2/27/2003,UG/L,,UNK,37.2922599,-120.334912,MUNICIPAL,,0,70,DHS,2410007-006,WELL 05
2000794-001,0,CR6,10/4/2005,UG/L,<,UNK,36.8866337,-119.819904,MUNICIPAL,,0,0,DHS,2000794-001,SOURCE MAIN WELL
5010010-068,3.5,CR6,9/18/2014,UG/L,,UNK,37.6978861,-120.929152,MUNICIPAL,,162,58,DHS,5010010-068,WELL 054
5000433-007,2.8,CR6,2/14/2017,UG/L,,UNK,37.784806,-120.770688,MUNICIPAL,,,,DHS,5000433-007,OLIVE RANCH ESTATES WELL NO. 01
2410007-007,0.6,CR6,3/15/2011,UG/L,,UNK,37.2922599,-120.334912,MUNICIPAL,,0,46,DHS,2410007-007,WELL 06
2410007-007,1,CR6,7/1/2003,UG/L,<,UNK,37.2922599,-120.334912,MUNICIPAL,,0,46,DHS,2410007-007,WELL 06
5010018-008,3,CR6,2/8/2016,UG/L,,UNK,37.7268594,-120.968768,MUNICIPAL,,210,40,DHS,5010018-008,WELL 08
5010018-008,4.5,CR6,3/26/2012,UG/L,,UNK,37.7268594,-120.968768,MUNICIPAL,,210,40,DHS,5010018-008,WELL 08
2000727-001,2.9,CR6,9/25/2014,UG/L,,UNK,36.9445803,-120.136832,MUNICIPAL,,280,80,DHS,2000727-001,SOURCE MAIN WELL
5000055-003,2,CR6,11/12/2002,UG/L,,UNK,37.6978861,-120.929152,MUNICIPAL,,104,10,DHS,5000055-003,EAST FIELD
2410007-014,1,CR6,5/7/2003,UG/L,<,UNK,37.2922599,-120.334912,MUNICIPAL,,240,60,DHS,2410007-014,WELL 07
2410007-014,0,CR6,7/29/2014,UG/L,<,UNK,37.2922599,-120.334912,MUNICIPAL,,240,60,DHS,2410007-014,WELL 07
2410007-014,1,CR6,1/18/2005,UG/L,<,UNK,37.2922599,-120.334912,MUNICIPAL,,240,60,DHS,2410007-014,WELL 07
5000237-003,0,CR6,12/9/2014,UG/L,<,UNK,37.784806,-120.84992,MUNICIPAL,,58,140,DHS,5000237-003,WELL #3
2010002-001,2.4,CR6,11/19/2002,UG/L,,UNK,37.0025269,-120.097216,MUNICIPAL,,0,360,DHS,2010002-001,WELL 26 - RAW
5010014-011,1.4,CR6,7/20/2016,UG/L,,UNK,37.7558327,-120.84992,MUNICIPAL,,240,140,DHS,5010014-011,WELL 08
5010014-011,1.1,CR6,7/2/2003,UG/L,,UNK,37.7558327,-120.84992,MUNICIPAL,,240,140,DHS,5010014-011,WELL 08
5010026-001,6.13,CR6,7/3/2018,UG/L,,UNK,37.6109662,-120.770688,MUNICIPAL,,104,36,DHS,5010026-001,WELL NO. 272
5000013-001,1.7,CR6,7/17/2002,UG/L,,UNK,37.784806,-120.810304,MUNICIPAL,,0,35,DHS,5000013-001,WELL 01
5000433-003,1.9,CR6,2/14/2017,UG/L,,UNK,37.784806,-120.810304,MUNICIPAL,,264,100,DHS,5000433-003,HUNTER RANCH ESTATES WELL NO. 01
3900927-001,6.7,CR6,7/16/2002,UG/L,,UNK,37.7558327,-121.127232,MUNICIPAL,,385,50,DHS,3900927-001,WELL#1
5000433-002,2,CR6,7/17/2002,UG/L,,UNK,37.784806,-120.810304,MUNICIPAL,,325,42,DHS,5000433-002,COUNTRY CLUB ESTATES WELL NO. 02
5010010-053,3.4,CR6,9/18/2014,UG/L,,UNK,37.6978861,-121.048,MUNICIPAL,,0,225,DHS,5010010-053,WELL 051
2410007-001,0,CR6,7/29/2014,UG/L,<,UNK,37.2922599,-120.334912,MUNICIPAL,,0,10,DHS,2410007-001,WELL 01-A
2410007-001,1.6,CR6,1/18/2005,UG/L,,UNK,37.2922599,-120.334912,MUNICIPAL,,0,10,DHS,2410007-001,WELL 01-A
2000866-001,2.4,CR6,8/18/2014,UG/L,,UNK,37.0894468,-120.097216,MUNICIPAL,,0,0,DHS,2000866-001,SOURCE WELL 1
5000049-001,0,CR6,9/29/2014,UG/L,<,UNK,37.784806,-120.810304,MUNICIPAL,,117,40,DHS,5000049-001,NORTH WELL
5000355-002,1.8,CR6,7/17/2002,UG/L,,UNK,37.7558327,-120.810304,MUNICIPAL,,50,80,DHS,5000355-002,WELL #1
2000938-001,2,CR6,6/29/2016,UG/L,,UNK,36.9735536,-120.136832,MUNICIPAL,,420,140,DHS,2000938-001,MAIN WELL
2000938-001,1.7,CR6,8/18/2014,UG/L,,UNK,36.9735536,-120.136832,MUNICIPAL,,420,140,DHS,2000938-001,MAIN WELL
2410010-015,0,CR6,5/7/2003,UG/L,<,UNK,37.4081531,-120.612224,MUNICIPAL,,660,40,DHS,2410010-015,WELL 16 - STANDBY
5000015-002,1.9,CR6,2/19/2002,UG/L,,UNK,37.784806,-120.810304,MUNICIPAL,,350,125,DHS,5000015-002,WELL #1 - SOUTH
5010018-004,2.6,CR6,10/22/2002,UG/L,,UNK,37.7268594,-120.929152,MUNICIPAL,,132,154,DHS,5010018-004,WELL 04
5000211-001,2.2,CR6,4/16/2003,UG/L,,UNK,37.7268594,-120.929152,MUNICIPAL,,50,77,DHS,5000211-001,WELL NO. 01 - STANDBY
2410001-006,1,CR6,6/28/2001,UG/L,,UNK,37.3502065,-120.612224,MUNICIPAL,,86,60,DHS,2410001-006,WELL 06 - DESTROYED
5000499-001,2.3,CR6,12/8/2014,UG/L,,UNK,37.6689128,-121.127232,MUNICIPAL,,285,20,DHS,5000499-001,NE NEW 01
5000099-003,7.41,CR6,8/12/2014,UG/L,,UNK,37.7558327,-121.008384,MUNICIPAL,,50,40,DHS,5000099-003,NEW NORTH GATE
2010801-002,0.15,CR6,8/4/2014,UG/L,,UNK,37.1184201,-120.136832,MUNICIPAL,,410,390,DHS,2010801-002,WELL 02 - RAW
5010018-007,3.3,CR6,12/23/2015,UG/L,,UNK,37.7268594,-120.968768,MUNICIPAL,,209,132,DHS,5010018-007,WELL 07
5010010-185,6.7,CR6,9/18/2014,UG/L,,UNK,37.6399395,-120.968768,MUNICIPAL,,0,265,DHS,5010010-185,WELL 278 - SCENIC
2410009-005,4,CR6,9/1/2016,UG/L,,UNK,37.2922599,-120.45376,MUNICIPAL,,0,17,DHS,2410009-005,WELL 02B - RAW
5000017-001,0,CR6,9/29/2014,UG/L,<,UNK,37.7268594,-120.968768,MUNICIPAL,,150,100,DHS,5000017-001,ARROWOOD (EAST) WELL
5010018-003,1.6,CR6,10/22/2002,UG/L,,UNK,37.7268594,-120.968768,MUNICIPAL,,0,80,DHS,5010018-003,WELL 03
5010018-003,2.5,CR6,3/26/2012,UG/L,,UNK,37.7268594,-120.968768,MUNICIPAL,,0,80,DHS,5010018-003,WELL 03
5010005-007,4,CR6,2/12/2001,UG/L,,UNK,37.6978861,-121.087616,MUNICIPAL,,292,120,DHS,5010005-007,WELL 297
2410007-004,1.3,CR6,2/27/2003,UG/L,,UNK,37.2922599,-120.295296,MUNICIPAL,,0,50,DHS,2410007-004,WELL 03-A
5010028-038,2.4,CR6,7/14/2014,UG/L,,UNK,37.6109662,-120.929152,MUNICIPAL,,,,DHS,5010028-038,WELL 38 - RAW
5000117-001,2.8,CR6,12/12/2014,UG/L,,UNK,37.784806,-120.810304,MUNICIPAL,,210,20,DHS,5000117-001,DOMESTIC WELL
5010028-028,1.5,CR6,7/12/2016,UG/L,,UNK,37.6109662,-120.929152,MUNICIPAL,,,,DHS,5010028-028,WELL 28 - RAW
5010010-169,2.4,CR6,9/18/2014,UG/L,,UNK,37.6399395,-120.929152,MUNICIPAL,,0,100,DHS,5010010-169,WELL 310 - FRAZINE
5010005-004,2,CR6,2/12/2001,UG/L,,UNK,37.6978861,-121.087616,MUNICIPAL,,335,120,DHS,5010005-004,WELL 281 - INACTIVE
2410001-014,2.2,CR6,9/17/2014,UG/L,,UNK,37.3502065,-120.612224,MUNICIPAL,,110,163,DHS,2410001-014,WELL 14
